ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1664978	0.022104	1.89e-03	3.4584219	-1.432379	0.47966743	318067950	TJP2	tight junction protein 2
ILMN_2352921	0.0221102	1.89e-03	-3.4582162	-1.432863	-0.20566795	223718105	BPGM	bisphosphoglycerate mutase
ILMN_1806787	0.0221114	1.89e-03	3.4581002	-1.433137	0.18578604	124487383	CSDC2	cold shock domain containing C2
ILMN_1865112	0.0221187	1.89e-03	3.457875	-1.433666	0.20801119	24723541		
ILMN_1652906	0.0221324	1.89e-03	-3.4575333	-1.434471	-0.30752206	544063397	GBGT1	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1
ILMN_1839520	0.0221324	1.89e-03	-3.4574403	-1.43469	-0.16752141	28365619		
ILMN_1768284	0.0221501	1.90e-03	-3.4570306	-1.435654	-0.47441528	224589133	P2RY8	purinergic receptor P2Y8
ILMN_1753183	0.0221642	1.90e-03	-3.4566839	-1.43647	-0.20599519	198278565	CDCA4	cell division cycle associated 4
ILMN_1691217	0.0221662	1.90e-03	-3.4565548	-1.436774	-0.12397588	NA		
ILMN_1823426	0.0221678	1.90e-03	3.4564306	-1.437066	0.12811023	23300485		
ILMN_1678246	0.0221731	1.90e-03	-3.4562424	-1.437509	-0.14522371	NA		
ILMN_1726421	0.022186	1.90e-03	-3.4559184	-1.438272	-0.17946821	568815607	METTL9	methyltransferase like 9
ILMN_1656579	0.0222162	1.90e-03	3.4552862	-1.43976	0.12970068	NA		
ILMN_1752965	0.0222273	1.91e-03	3.4549275	-1.440604	0.32060274	300795276	GREM1	gremlin 1, DAN family BMP antagonist
ILMN_1776005	0.0222273	1.91e-03	-3.4548624	-1.440757	-0.26751799	392513680	OSTC	oligosaccharyltransferase complex non-catalytic subunit
ILMN_1770977	0.0222273	1.91e-03	-3.4548042	-1.440894	-0.26338846	411147379	TMEM134	transmembrane protein 134
ILMN_1808299	0.0222397	1.91e-03	3.4544321	-1.44177	0.26956415	618857411	IQSEC1	IQ motif and Sec7 domain 1
ILMN_1823746	0.0222397	1.91e-03	-3.4543551	-1.441951	-0.17878385	9262873		
ILMN_1738438	0.0222397	1.91e-03	-3.454302	-1.442076	-0.7025837	148727304	MAST4	microtubule associated serine/threonine kinase family member 4
ILMN_2370336	0.0222399	1.91e-03	-3.4542031	-1.442309	-0.29243331	343098439	MS4A4A	membrane spanning 4-domains A4A
ILMN_1659696	0.0222569	1.91e-03	3.4538073	-1.44324	0.09910126	NA		
ILMN_1762741	0.0222642	1.91e-03	-3.4535839	-1.443765	-0.17361911	264681493	GTDC1	glycosyltransferase like domain containing 1
ILMN_1834568	0.0222938	1.92e-03	-3.4529648	-1.445222	-0.18595325	6044546		
ILMN_1725121	0.0222967	1.92e-03	-3.4528176	-1.445569	-0.34989219	53759152	XPO1	exportin 1
ILMN_1718805	0.0223312	1.92e-03	3.4521131	-1.447226	0.14755396	299115259	PPP2R3A	protein phosphatase 2 regulatory subunit B''alpha
ILMN_1739792	0.0223453	1.92e-03	-3.4517693	-1.448035	-0.31682792	147899824	RHOG	ras homolog family member G
ILMN_1678235	0.0223498	1.92e-03	3.4514713	-1.448736	0.30262034	301500641	KANSL1	KAT8 regulatory NSL complex subunit 1
ILMN_1799026	0.0223498	1.92e-03	-3.4514672	-1.448746	-0.42288386	664806061	PCDH18	protocadherin 18
ILMN_1689357	0.0223498	1.92e-03	3.4513721	-1.448969	0.17127195	322812166	IL17RC	interleukin 17 receptor C
ILMN_1904508	0.0223498	1.92e-03	3.4513135	-1.449107	0.16532569	47320580		
ILMN_1713486	0.0223872	1.93e-03	-3.4505582	-1.450884	-0.19608925	34878786	RNF25	ring finger protein 25
ILMN_1681728	0.022395	1.93e-03	3.4503259	-1.45143	0.18237531	NA		
ILMN_1906158	0.0223994	1.93e-03	-3.4501539	-1.451835	-0.1100836	16553639	OBFC1	oligonucleotide/oligosaccharide binding fold containing 1
ILMN_1656630	0.0224157	1.93e-03	-3.4497731	-1.452731	-0.10544292	NA		
ILMN_1782543	0.022422	1.93e-03	-3.4494963	-1.453382	-0.32247987	304555580	EEF1D	eukaryotic translation elongation factor 1 delta
ILMN_2135306	0.022422	1.93e-03	3.449474	-1.453434	0.14129956	545686784	KRTAP10-10	keratin associated protein 10-10
ILMN_1731294	0.0224265	1.93e-03	3.4492997	-1.453844	0.22431406	629266053	GPR179	G protein-coupled receptor 179
ILMN_1852423	0.0224345	1.93e-03	3.4490653	-1.454395	0.13387723	4703656		
ILMN_1670539	0.0224498	1.94e-03	3.4486578	-1.455354	0.31329901	NA		
ILMN_1846726	0.0224498	1.94e-03	-3.4486084	-1.45547	-0.15491368	13547354		
ILMN_1897889	0.022466	1.94e-03	3.4482295	-1.456361	0.14393139	27844667	LOC102724612	uncharacterized LOC102724612
ILMN_2118910	0.0224794	1.94e-03	-3.4478994	-1.457137	-0.13149988	205277452	TPRKB	TP53RK binding protein
ILMN_1768491	0.0224828	1.94e-03	3.4477439	-1.457503	0.1388607	124299170	TBC1D25	TBC1 domain family member 25
ILMN_1693270	0.0224828	1.94e-03	-3.4475707	-1.45791	-1.12927082	55956886	SUSD2	sushi domain containing 2
ILMN_2263718	0.0224828	1.94e-03	3.4475586	-1.457939	0.29196362	195927053	SPAG9	sperm associated antigen 9
ILMN_1874987	0.0224952	1.94e-03	3.4471731	-1.458845	0.12969345	7457876		
ILMN_2410938	0.0224952	1.94e-03	3.4471515	-1.458896	0.67466035	325651889	SMOC1	SPARC related modular calcium binding 1
ILMN_1669631	0.0225169	1.95e-03	-3.4466773	-1.460011	-0.52684741	260593682	GLRB	glycine receptor beta
ILMN_1843863	0.022533	1.95e-03	3.4463006	-1.460897	0.19846928	4971068		
ILMN_1656822	0.022546	1.95e-03	-3.4459785	-1.461654	-0.2101901	299758518	DNM2	dynamin 2
ILMN_1887059	0.0225472	1.95e-03	-3.445839	-1.461982	-0.14659088	23297953		
ILMN_1664698	0.0225472	1.95e-03	-3.4457698	-1.462145	-0.24502002	224809227	UNC119	unc-119 lipid binding chaperone
ILMN_1807359	0.0225768	1.95e-03	-3.4451587	-1.463581	-0.55389358	37595568	CLEC11A	C-type lectin domain family 11 member A
ILMN_1852964	0.0225913	1.96e-03	3.4447956	-1.464435	0.17729494	24792782		
ILMN_1696270	0.0225913	1.96e-03	-3.4447173	-1.464619	-0.20044678	167857793	PLAG1	PLAG1 zinc finger
ILMN_1688334	0.0225954	1.96e-03	3.4445517	-1.465009	0.14508046	545686784	KRTAP10-10	keratin associated protein 10-10
ILMN_2400940	0.0226047	1.96e-03	-3.4442952	-1.465612	-0.25274769	306482603	L3MBTL1	l(3)mbt-like 1 (Drosophila)
ILMN_1654722	0.022636	1.96e-03	-3.4436541	-1.467119	-0.28752074	190360559	MPV17L	MPV17 mitochondrial inner membrane protein like
