gene,organ,instrument_source,n_instruments,IVW_beta,IVW_p,IVW_p_adj,Egger_p,Cochran_Q_p,F_statistic,verdict,IVW_p_adj_50gene
SPP1,Skin,eQTLGen,1,-0.0204525909561975,0.907518005987888,0.983344746747594,,,3230.03535556,Not Significant (IVW p>=0.05),0.9814731351245495
SVEP1,Kidney,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
SVEP1,Liver,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
SVEP1,Lung,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
SVEP1,Skin,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
TGFB3,Kidney,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
TGFB3,Liver,eQTLGen,1,0.799264966471217,0.0725264934449954,0.6238504406278189,,,895.05680625,Not Significant (IVW p>=0.05),0.49361184839091476
TGFB3,Lung,eQTLGen,1,0.721836279624832,0.256221959856097,0.9160524304972164,,,895.05680625,Not Significant (IVW p>=0.05),0.8113695395443072
TGFB3,Skin,eQTLGen,1,-0.219859086608034,0.842965338992037,0.983344746747594,,,895.05680625,Not Significant (IVW p>=0.05),0.9814731351245495
TGM2,Kidney,eQTLGen,1,0.246765974331069,0.467058901715173,0.9177578274973504,,,118.42010041,Not Significant (IVW p>=0.05),0.8196188676954851
TGM2,Liver,eQTLGen,1,0.555436277897767,0.195404013190061,0.8494092818261836,,,118.42010041,Not Significant (IVW p>=0.05),0.7681399139195502
TGM2,Lung,eQTLGen,1,0.620010306518189,0.307057227321703,0.9177578274973504,,,118.42010041,Not Significant (IVW p>=0.05),0.8196188676954851
TGM2,Skin,eQTLGen,1,0.475530370834687,0.658839317063112,0.96370870746357,,,118.42010041,Not Significant (IVW p>=0.05),0.9272553351258614
THBS1,Kidney,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
THBS1,Liver,eQTLGen,1,0.0405315523921372,0.581715822324267,0.9421441841255442,,,2768.48554896,Not Significant (IVW p>=0.05),0.8612416070774862
THBS1,Lung,eQTLGen,1,-0.0089422376269198,0.931653943559793,0.983344746747594,,,2768.48554896,Not Significant (IVW p>=0.05),0.9814731351245495
THBS1,Skin,eQTLGen,1,0.0736674628254044,0.691825411617901,0.9662589102375996,,,2768.48554896,Not Significant (IVW p>=0.05),0.9502180352342254
TIMP1,Kidney,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
TIMP1,Liver,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
TIMP1,Lung,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
TIMP1,Skin,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
VCAN,Kidney,eQTLGen,1,0.401370469619503,0.317310507862914,0.9177578274973504,,,50.16605584,Not Significant (IVW p>=0.05),0.8196188676954851
VCAN,Liver,eQTLGen,1,-0.406284749306906,0.453983186656151,0.9177578274973504,,,50.16605584,Not Significant (IVW p>=0.05),0.8196188676954851
VCAN,Lung,eQTLGen,1,-0.27825509519459,0.717435554535871,0.9795754686932086,,,50.16605584,Not Significant (IVW p>=0.05),0.962207684906933
VCAN,Skin,eQTLGen,1,-0.126432952212861,0.926430814328925,0.983344746747594,,,50.16605584,Not Significant (IVW p>=0.05),0.9814731351245495
VWF,Kidney,eQTLGen,1,0.0488100008132486,0.463355149269597,0.9177578274973504,,,1589.68866681,Not Significant (IVW p>=0.05),0.8196188676954851
VWF,Liver,eQTLGen,1,0.0065849572097153,0.94557103908388,0.983344746747594,,,1589.68866681,Not Significant (IVW p>=0.05),0.9814731351245495
VWF,Lung,eQTLGen,1,0.123365945873646,0.366908566281316,0.9177578274973504,,,1589.68866681,Not Significant (IVW p>=0.05),0.8196188676954851
VWF,Skin,eQTLGen,1,0.005478478864007,0.982018467085213,0.9960551703198638,,,1589.68866681,Not Significant (IVW p>=0.05),0.9907088959974716
