gene,logFC_skin,adj_p_skin,logFC_kidney,adj_p_kidney,logFC_liver,adj_p_liver,logFC_lungs,adj_p_lungs
FHL1,-2.3237901,7.64e-05,1.8076163,0.00075039,0.851,2.16e-09,1.0423364,8.46e-08
FKBP5,-2.6772158,0.00254,-1.70325524,6.25e-06,0.868247,0.0406,2.605185,2.94e-09
FMO3,-0.81183459,1.76e-11,1.46679482,0.00161,2.562247,1.65e-11,-0.59844734,7.62e-08
FMO5,-0.9304485,0.000149,-1.4168894,0.00411877,2.335281,1.36e-08,1.58493273,2.89e-26
FMOD,-0.66194003,5.7e-14,1.07161347,5.67e-05,1.31,3.25e-14,1.1440941,6.13e-11
FNDC3A,-0.7242817,4.93e-06,-0.7317767,0.00226,1.830019,2.38e-06,-1.3886191,3.91e-15
FOXS1,-0.72502497,7.22e-06,1.25,0.000355,-1.416511,1.82e-06,0.6274305,2.31e-09
FSTL1,-0.72272083,2.12e-11,1.7369572,0.00028855,1.43,8.81e-14,-1.2793627,1.09e-11
FURIN,-0.6311976,0.00032,1.07,0.000143,3.471117,7.03e-12,0.63097305,1.49e-22
FUS,-0.9073542,0.00012,1.0637926,0.0235,1.09,3.5e-15,1.25553617,0.00186
FXYD1,-2.2959361,1.57e-06,0.9550447,0.00933,2.76751,3.92e-11,1.2135518,1.32e-10
FXYD5,-1.0619305,0.000213,1.14398213,2.54e-10,1.07,7.62e-13,0.6980845,8.22e-09
FZD2,-0.87880701,4.36e-13,1.2472207,0.01151275,-1.333648,0.00388,0.7547159,6.02e-09
G0S2,-2.02403922,3.18e-10,-1.5783705,7.87e-06,-0.7,0.0053,1.5043859,1.47e-09
GABARAPL1,-0.8090957,1.53e-05,-0.7157734,7.9e-05,1.11,7.21e-12,2.0309377,2.95e-21
GBP1,-0.65033364,1.37e-05,-1.0369371,0.0034,0.935,2.03e-05,-1.1570955,4.73e-07
GDF15,-1.17041898,1.61e-10,-1.2276365,0.000169,2.14,4.59e-08,-0.73598573,1.75e-09
GEM,-1.21508463,3.98e-35,2.2,0.000964,2.94,5.66e-17,-1.23767686,5.45e-20
GGT5,-0.97769839,4.81e-15,0.83980963,0.00185,0.826,1.81e-11,-0.7086182,5.82e-05
GJA5,-1.5525562,6.24e-20,1.7874265,3.54e-05,-1.979606,1.15e-05,-1.4433132,1.4e-05
GLIS2,-0.81001225,5.36e-08,1.03,0.000708,-1.16,6.48e-07,0.7355264,6.08e-11
GLIS3,-1.03444741,4.27e-15,-1.2586009,1.91e-06,0.623609,0.0137,1.1519939,7.79e-05
GOLGA8A,-0.6380524,0.0162,2.3487349,4.03e-07,1.39,2.89e-08,0.7977334,0.000202
GPR174,-0.81381261,1.42e-05,-1.5598181,0.00174,-0.727,1.24e-05,1.4361311,2.19e-12
GPR65,-1.00170384,5.82e-15,1.23740577,2.61e-06,0.853,2.1e-09,0.6485091,0.000125
GPRC5C,-0.953,0.03771,-0.8005261,0.000229,1.784965,0.000885,0.7774668,1.77e-09
GPX1,-0.68771296,6.13e-25,-0.9683895,0.000158,1.483764,2.06e-07,1.1772818,8.35e-08
GRAP,-0.73544237,4.34e-15,0.9242692,0.00923,-1.570734,0.000245,1.7329464,1.51e-13
GSTM3,0.64869302,2.25e-08,-0.7460495,0.00354,1.36,9.63e-09,-0.8686714,0.000869
GSTM4,-1.2982125,9.07e-06,-0.7119247,0.00104,2.34204,1.41e-10,1.1660418,7.17e-11
GTF2I,-1.3751593,0.0136,-0.7358329,0.00039,3.132588,2.69e-07,-1.4563832,1.52e-16
GVINP1,-0.63494902,1.08e-07,-1.1925614,0.0069,0.627,5.81e-09,-0.8126555,0.00062
GXYLT2,-0.95552695,6.15e-11,1.54,0.0222,-0.734,0.00793,-1.28159566,5.12e-31
GZMA,-1.5315411,2.64e-12,1.94342639,6.14e-08,1.85,9.23e-15,0.87682,4.3e-05
GZMH,-1.16875464,3.98e-07,0.76971507,0.000864,-0.896,6.77e-06,0.7092845,3.56e-07
GZMK,-1.61032198,4.92e-12,1.59463905,4.47e-06,2.56,2.55e-22,-0.78549422,1.19e-07
H19,-1.74961997,1.14e-17,1.06,0.0131,1.52671,0.00171,-1.3627562,0.0186
HBA2,0.94620137,0.00621,2.6383888,9.93e-09,-2.28,2.09e-09,-1.326445,0.0373
HBB,1.07045724,0.00311,3.6413911,1.51e-08,2.23,3.71e-09,2.3823018,4.36e-06
HCK,-0.82657298,1.6e-14,1.77563723,2.61e-06,-0.953,3.3e-08,0.59490073,3.89e-08
HCLS1,-0.78830078,2.23e-17,1.1488022,4.22e-05,-0.798,7.91e-12,0.7483149,8.57e-18
HDAC7,-0.6370295,0.00232,1.06,0.00142,-0.728,3.18e-07,0.8662077,2.03e-16
HEG1,-0.78916742,3.51e-20,-1.1454084,4.53e-05,1.04,2.16e-11,-1.4462308,5.14e-13
HERC5,0.6832711,0.00663,-1.1070318,0.000288,1.41,1.27e-09,-0.8721282,3.75e-09
HLA-DMA,-0.66956515,7.73e-11,1.7394952,0.00089976,3.05,1.1300000000000002e-27,1.6573577,2.14e-14
HLA-DMB,-0.69818661,1.56e-10,0.90310336,4.2e-05,1.73,5.58e-20,0.6591555,1.08e-05
HLA-DPA1,-0.6557647,3.25e-07,2.6559992,0.00017289,3.02,8.51e-30,0.8431909,1.26e-10
HLA-DRA,-0.71315881,7.32e-09,2.0941962,0.0004101,3.33,3.4600000000000003e-29,-1.1910412,0.00303
HLA-DRB1,-0.65001043,8.23e-07,1.4784945,0.00395712,2.55,5.7399999999999995e-30,-1.3758083,5.95e-05
HLA-DRB6,-1.0623592,4.66e-09,0.7248745,0.00252905,1.1,4.76e-11,-0.65320248,0.012
HLA-G,-0.6007165,0.00153,1.246029,0.00122328,1.03,2.18e-14,-1.6594434,8.01e-07
