"gene","organ","n_instruments","IVW_beta","IVW_p","Egger_beta","Egger_p","WeightedMedian_beta","WeightedMedian_p","Egger_intercept_p","Cochran_Q_p","F_statistic","verdict"
"FGF10","Liver",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"FGF10","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"FGF10","Lung",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"FGF10","Skin",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"FGF14","Liver",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"FGF14","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"FGF14","Lung",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"FGF14","Skin",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"FGF7","Liver",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"FGF7","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"FGF7","Lung",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"FGF7","Skin",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"FGFBP2","Liver",1,-0.0445624246040988,0.618524470800914,NA,NA,NA,NA,NA,NA,2020.65533289,"Not Significant (IVW p>=0.05)"
"FGFBP2","Kidney",1,0.0673124483108543,0.288008758003942,NA,NA,NA,NA,NA,NA,2020.65533289,"Not Significant (IVW p>=0.05)"
"FGFBP2","Lung",1,-0.12265872308993,0.331868120807763,NA,NA,NA,NA,NA,NA,2020.65533289,"Not Significant (IVW p>=0.05)"
"FGFBP2","Skin",1,0.296842353672771,0.188639804312562,NA,NA,NA,NA,NA,NA,2020.65533289,"Not Significant (IVW p>=0.05)"
"FMOD","Liver",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"FMOD","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"FMOD","Lung",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"FMOD","Skin",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"FSTL1","Liver",1,0.0268474918682476,0.8070195541422,NA,NA,NA,NA,NA,NA,966.58188201,"Not Significant (IVW p>=0.05)"
"FSTL1","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"FSTL1","Lung",1,-0.0862531059806448,0.579048956556361,NA,NA,NA,NA,NA,NA,966.58188201,"Not Significant (IVW p>=0.05)"
"FSTL1","Skin",1,0.249653669728653,0.3670448720864,NA,NA,NA,NA,NA,NA,966.58188201,"Not Significant (IVW p>=0.05)"
"GDF15","Liver",1,0.200192881233571,0.250765460429236,NA,NA,NA,NA,NA,NA,430.03975876,"Not Significant (IVW p>=0.05)"
"GDF15","Kidney",1,0.232664604129218,0.102768216190316,NA,NA,NA,NA,NA,NA,430.03975876,"Not Significant (IVW p>=0.05)"
"GDF15","Lung",1,-0.179903777222522,0.464827198363251,NA,NA,NA,NA,NA,NA,430.03975876,"Not Significant (IVW p>=0.05)"
"GDF15","Skin",1,0.454021708497756,0.301300103039419,NA,NA,NA,NA,NA,NA,430.03975876,"Not Significant (IVW p>=0.05)"
"IGF1","Liver",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"IGF1","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"IGF1","Lung",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"IGF1","Skin",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"IGFBP5","Liver",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"IGFBP5","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"IGFBP5","Lung",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"IGFBP5","Skin",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"IL1A","Liver",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"IL1A","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"IL1A","Lung",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"IL1A","Skin",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"LAMC3","Liver",1,0.0604896346198785,0.474516186560544,NA,NA,NA,NA,NA,NA,1424.93415289,"Not Significant (IVW p>=0.05)"
"LAMC3","Kidney",1,-0.022290306392037,0.703945415151674,NA,NA,NA,NA,NA,NA,1424.93415289,"Not Significant (IVW p>=0.05)"
"LAMC3","Lung",1,-0.0392450173382328,0.742648442433721,NA,NA,NA,NA,NA,NA,1424.93415289,"Not Significant (IVW p>=0.05)"
"LAMC3","Skin",1,-0.205458357291557,0.335101425518805,NA,NA,NA,NA,NA,NA,1424.93415289,"Not Significant (IVW p>=0.05)"
"LEFTY2","Liver",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"LEFTY2","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"LEFTY2","Lung",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
