ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1740436	0.9997	0.90629075	-0.1184031	-5.075	-0.01296267	519666768	ACKR4	atypical chemokine receptor 4
ILMN_1723212	0.9997	0.90630344	-0.118387	-5.075	-0.02901331	194239695	SRSF3	serine and arginine rich splicing factor 3
ILMN_3269021	0.9997	0.9063118	-0.1183763	-5.075	-0.02319597	NA		
ILMN_2362556	0.9997	0.90633109	0.1183519	-5.075	0.01878708	NA		
ILMN_1759622	0.9997	0.90634857	-0.1183297	-5.075	-0.01329603	194733763	G3BP2	G3BP stress granule assembly factor 2
ILMN_1739198	0.9997	0.90639609	0.1182693	-5.075	0.01544683	50263054	SCP2D1	SCP2 sterol binding domain containing 1
ILMN_1788991	0.9997	0.90639634	-0.118269	-5.075	-0.01527894	254281260	GMNC	geminin coiled-coil domain containing
ILMN_1804170	0.9997	0.90641719	-0.1182425	-5.075	-0.01558183	NA		
ILMN_1716583	0.9997	0.90644018	-0.1182134	-5.075	-0.02427686	544186021	NME7	NME/NM23 family member 7
ILMN_1657639	0.9997	0.90648792	-0.1181527	-5.075	-0.01727936	163310724	EDEM3	ER degradation enhancing alpha-mannosidase like protein 3
ILMN_2368617	0.9997	0.90652783	0.1181021	-5.075	0.01787561	209574323	FKRP	fukutin related protein
ILMN_1782385	0.9997	0.90653181	-0.118097	-5.075	-0.01456878	306482654	POLR2A	RNA polymerase II subunit A
ILMN_1682930	0.9997	0.90655239	-0.1180709	-5.075	-0.02504064	206725522	SIPA1	signal-induced proliferation-associated 1
ILMN_1914579	0.9997	0.90656053	0.1180606	-5.075	0.01345411	6697959		
ILMN_1681590	0.9997	0.90656261	0.1180579	-5.075	0.01690408	NA		
ILMN_1736223	0.9997	0.90663476	0.1179663	-5.075	0.01246994	281182384	IQCH	IQ motif containing H
ILMN_1781897	0.9997	0.90665637	-0.1179389	-5.075	-0.01412825	75709176	KLRC3	killer cell lectin like receptor C3
ILMN_1715963	0.9997	0.90668995	0.1178963	-5.075	0.01525125	74229028	FBXO7	F-box protein 7
ILMN_2345837	0.9997	0.90670545	-0.1178766	-5.075	-0.01301331	296179380	CLTA	clathrin light chain A
ILMN_3274380	0.9997	0.90671025	0.1178705	-5.075	0.01384556	NA		
ILMN_1903568	0.9997	0.90673935	0.1178336	-5.075	0.02278311	10434613	CNIH1	cornichon family AMPA receptor auxiliary protein 1
ILMN_3298200	0.9997	0.90675184	-0.1178177	-5.075	-0.01711203	NA		
