Gene ID	Gene Symbol	
9076	CLDN1	
54221	SNTG2	
2701	GJA4	
3891	KRT85	
81493	SYNC	
5696	PSMB8	
229	ALDOB	
2901	GRIK5	
56649	TMPRSS4	
203197	TMEM268	
23560	GTPBP4	
2235	FECH	
27306	HPGDS	
259230	SGMS1	
1471	CST3	
253782	CERS6	
6925	TCF4	
9362	CPNE6	
1029	CDKN2A	
79961	DENND2D	
55714	TENM3	
57819	LSM2	
84790	TUBA1C	
6595	SMARCA2	
3992	FADS1	
22873	DZIP1	
11343	MGLL	
9833	MELK	
56925	LXN	
23438	HARS2	
3046	HBE1	
6561	SLC13A1	
116832	RPL39L	
55851	PSENEN	
56301	SLC7A10	
4869	NPM1	
1839	HBEGF	
78998	RHPN1-AS1	
5355	PLP2	
7105	TSPAN6	
54494	C11orf71	
55118	CRTAC1	
57835	SLC4A5	
6850	SYK	
5627	PROS1	
9787	DLGAP5	
55620	STAP2	
23212	RRS1	
1051	CEBPB	
79733	E2F8	
5920	PLAAT4	
2623	GATA1	
6628	SNRPB	
199870	FAM76A	
50700	RDH8	
199	AIF1	
8437	RASAL1	
6584	SLC22A5	
8777	MPDZ	
7512	XPNPEP2	
10168	ZNF197	
83475	DOHH	
114885	OSBPL11	
23743	BHMT2	
2314	FLII	
158	ADSL	
3624	INHBA	
54845	ESRP1	
27071	DAPP1	
2961	GTF2E2	
1164	CKS2	
5481	PPID	
7171	TPM4	
1977	EIF4E	
5136	PDE1A	
5155	PDGFB	
9019	MPZL1	
57369	GJD2	
8434	RECK	
58189	WFDC1	
6928	HNF1B	
80774	LIMD2	
80210	ARMC9	
9638	FEZ1	
3682	ITGAE	
324	APC	
3075	CFH	
140465	MYL6B	
25759	SHC2	
7293	TNFRSF4	
79642	ARSJ	
7074	TIAM1	
1195	CLK1	
5578	PRKCA	
56998	CTNNBIP1	
1020	CDK5	
2091	FBL	
5414	SEPTIN4	
60490	PPCDC	
80020	FOXRED2	
3702	ITK	
10125	RASGRP1	
2817	GPC1	
27295	PDLIM3	
79156	PLEKHF1	
2517	FUCA1	
29109	FHOD1	
84986	ARHGAP19	
64210	MMS19	
2550	GABBR1	
79643	CHMP6	
90410	IFT20	
51296	SLC15A3	
8677	STX10	
325	APCS	
4889	NPY5R	
11126	CD160	
54436	SH3TC1	
8417	STX7	
27255	CNTN6	
10227	SLC75A1	
55766	H2AJ	
4147	MATN2	
55879	GABRQ	
1774	DNASE1L1	
5214	PFKP	
5340	PLG	
7412	VCAM1	
11004	KIF2C	
8678	BECN1	
2700	GJA3	
26751	SH3YL1	
4640	MYO1A	
54820	NDE1	
11226	GALNT6	
135138	PACRG	
9130	FAM50A	
4294	MAP3K10	
706	TSPO	
55744	COA1	
3344	FOXN2	
9170	LPAR2	
7135	TNNI1	
