ID	adj.P.Val	P.Value	t	B	logFC	SPOT_ID
1643_at	1.71e-05	3.45e-07	6.7513392	6.64057	0.72981262	damage specific DNA binding protein 2
26278_at	1.74e-05	3.53e-07	6.7420101	6.61745	1.29111527	sacsin molecular chaperone
5172_at	1.74e-05	3.54e-07	-6.7417387	6.61678	-1.11944714	solute carrier family 26 member 4
7873_at	1.78e-05	3.64e-07	6.7303131	6.58845	0.82865991	mesencephalic astrocyte derived neurotrophic factor
5480_at	1.78e-05	3.64e-07	6.729947	6.58754	0.84103006	peptidylprolyl isomerase C
4628_at	1.80e-05	3.69e-07	6.7248679	6.57494	0.53181528	myosin, heavy chain 10, non-muscle
5836_at	1.81e-05	3.73e-07	6.7203208	6.56366	1.03778956	phosphorylase, glycogen, liver
55016_at	1.81e-05	3.75e-07	6.7181674	6.55832	0.78981397	membrane associated ring-CH-type finger 1
581_at	1.87e-05	3.88e-07	6.7049469	6.5255	0.71336081	BCL2 associated X, apoptosis regulator
1579_at	1.89e-05	3.96e-07	-6.696721	6.50507	-1.41701048	cytochrome P450 family 4 subfamily A member 11
1515_at	1.89e-05	3.97e-07	-6.6954314	6.50187	-1.8258622	cathepsin V
57228_at	1.89e-05	3.97e-07	6.6953667	6.50171	0.76161469	small cell adhesion glycoprotein
81575_at	1.89e-05	3.99e-07	-6.6940453	6.49843	-1.43700584	apolipoprotein L domain containing 1
2940_at	1.90e-05	4.02e-07	-6.6905746	6.4898	-0.92537006	glutathione S-transferase alpha 3
9111_at	1.91e-05	4.08e-07	6.6854672	6.47711	0.91595761	N-myc and STAT interactor
1740_at	1.97e-05	4.23e-07	-6.6703203	6.43946	-0.88089521	discs large MAGUK scaffold protein 2
2201_at	1.97e-05	4.23e-07	6.6702815	6.43936	0.93078961	fibrillin 2
54997_at	1.97e-05	4.25e-07	6.6689653	6.43609	0.91309854	tescalcin
27235_at	1.98e-05	4.28e-07	6.6664034	6.42972	0.6701285	coenzyme Q2, polyprenyltransferase
22936_at	2.01e-05	4.36e-07	-6.6588856	6.41101	-0.859649	elongation factor for RNA polymerase II 2
7163_at	2.05e-05	4.46e-07	-6.6499562	6.38879	-0.61668512	tumor protein D52
4615_at	2.13e-05	4.66e-07	6.6327661	6.34599	0.60704275	myeloid differentiation primary response 88
55740_at	2.15e-05	4.73e-07	6.6267839	6.33108	0.79594815	enabled homolog (Drosophila)
857_at	2.15e-05	4.74e-07	6.6260743	6.32931	1.0112661	caveolin 1
1311_at	2.18e-05	4.81e-07	6.6196033	6.31319	2.13341441	cartilage oligomeric matrix protein
51744_at	2.20e-05	4.87e-07	6.6146761	6.30091	0.49880376	CD244 molecule
4818_at	2.21e-05	4.92e-07	6.6109549	6.29163	1.03180338	natural killer cell granule protein 7
64834_at	2.22e-05	4.98e-07	6.6059429	6.27913	0.712634	ELOVL fatty acid elongase 1
3955_at	2.22e-05	4.99e-07	6.6055439	6.27813	0.41634313	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
55619_at	2.25e-05	5.07e-07	6.5988285	6.26138	1.06401989	dedicator of cytokinesis 10
284119_at	2.33e-05	5.26e-07	6.5846175	6.22592	0.5238362	polymerase I and transcript release factor
55254_at	2.35e-05	5.34e-07	6.5784498	6.21052	0.3933667	transmembrane protein 39A
23467_at	2.37e-05	5.40e-07	6.5739381	6.19925	0.61520317	neuronal pentraxin receptor
864_at	2.51e-05	5.74e-07	6.5501192	6.13974	0.62890692	runt related transcription factor 3
80231_at	2.58e-05	5.93e-07	6.5375171	6.10822	0.58660917	chromosome X open reading frame 21
10462_at	2.75e-05	6.34e-07	6.5111926	6.04234	1.19733571	C-type lectin domain family 10 member A
25895_at	2.79e-05	6.48e-07	-6.5024876	6.02054	-0.5779444	methyltransferase like 21B
81553_at	2.79e-05	6.48e-07	6.5024597	6.02047	0.69594683	family with sequence similarity 49 member A
54463_at	2.79e-05	6.49e-07	-6.5017119	6.0186	-0.88739111	family with sequence similarity 134 member B
4521_at	2.87e-05	6.71e-07	6.4887953	5.98623	0.62729349	nudix hydrolase 1
1606_at	2.92e-05	6.85e-07	6.4805755	5.96562	0.50585578	diacylglycerol kinase alpha
56005_at	2.95e-05	6.94e-07	6.4758608	5.9538	0.55831035	myeloid derived growth factor
8685_at	2.98e-05	7.03e-07	6.4706144	5.94064	0.67445687	macrophage receptor with collagenous structure
4747_at	2.98e-05	7.06e-07	6.4688567	5.93623	1.2983535	neurofilament, light polypeptide
27237_at	2.98e-05	7.11e-07	-6.4663327	5.9299	-0.78473112	Rho guanine nucleotide exchange factor 16
10381_at	2.98e-05	7.11e-07	6.4660907	5.92929	0.60394288	tubulin beta 3 class III
7978_at	2.99e-05	7.16e-07	6.4635561	5.92293	0.45078544	mitochondrial transcription termination factor 1
9046_at	3.02e-05	7.31e-07	6.4551699	5.90189	0.629041	docking protein 2
9586_at	3.02e-05	7.32e-07	6.4548634	5.90112	0.77170762	cAMP responsive element binding protein 5
627_at	3.02e-05	7.33e-07	6.4542013	5.89946	0.80398334	brain derived neurotrophic factor
34_at	3.02e-05	7.33e-07	-6.4541052	5.89922	-0.67585223	acyl-CoA dehydrogenase, C-4 to C-12 straight chain
64854_at	3.02e-05	7.36e-07	-6.4527254	5.89575	-1.12131426	ubiquitin specific peptidase 46
949_at	3.09e-05	7.55e-07	6.4422955	5.86957	0.47005348	scavenger receptor class B member 1
23283_at	3.10e-05	7.59e-07	6.4405712	5.86524	0.57319864	cleavage stimulation factor subunit 2, tau variant
6447_at	3.13e-05	7.70e-07	6.4348889	5.85096	1.77831694	secretogranin V
30817_at	3.16e-05	7.81e-07	6.4293268	5.83699	0.78159159	adhesion G protein-coupled receptor E2
1893_at	3.16e-05	7.84e-07	6.4279045	5.83342	2.58382708	extracellular matrix protein 1
3339_at	3.16e-05	7.86e-07	6.4270075	5.83116	0.48312141	heparan sulfate proteoglycan 2
3995_at	3.18e-05	7.92e-07	6.4237676	5.82302	0.64589134	fatty acid desaturase 3
4607_at	3.29e-05	8.22e-07	-6.4091524	5.78628	-0.35134069	myosin binding protein C, cardiac
1031_at	3.30e-05	8.29e-07	6.406079	5.77855	0.62321802	cyclin dependent kinase inhibitor 2C
