ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
1562753_at	5.09e-01	3.19e-01	1.0170353	-5.926786	0.07146099	ST6GALNAC5	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5
228814_at	5.09e-01	3.19e-01	1.01697	-5.926851	0.11716824	RBBP6	RB binding protein 6, ubiquitin ligase
231976_at	5.10e-01	3.19e-01	-1.0168885	-5.926931	-0.12931653	LINS1	lines homolog 1
241488_at	5.10e-01	3.19e-01	1.0168528	-5.926967	0.11516409		
228559_at	5.10e-01	3.19e-01	-1.0168377	-5.926982	-0.13875172	CENPN	centromere protein N
224572_s_at	5.10e-01	3.19e-01	-1.0168287	-5.926991	-0.17035289	IRF2BP2	interferon regulatory factor 2 binding protein 2
220203_at	5.10e-01	3.19e-01	1.0167068	-5.927111	0.08374516	BMP8A	bone morphogenetic protein 8a
220251_at	5.10e-01	3.19e-01	1.0167052	-5.927113	0.15403491	DIEXF	digestive organ expansion factor homolog (zebrafish)
234390_x_at	5.10e-01	3.19e-01	-1.0166768	-5.927141	-0.21998355		
241192_at	5.10e-01	3.19e-01	1.0166663	-5.927151	0.11707121		
218646_at	5.10e-01	3.19e-01	-1.0166661	-5.927151	-0.13254095	HPF1	histone PARylation factor 1
241093_at	5.10e-01	3.19e-01	-1.0166246	-5.927193	-0.1107393		
235405_at	5.10e-01	3.19e-01	-1.0166004	-5.927216	-0.24423512	GSTA4	glutathione S-transferase alpha 4
208394_x_at	5.10e-01	3.19e-01	1.0165892	-5.927227	0.42387069	ESM1	endothelial cell specific molecule 1
226367_at	5.10e-01	3.20e-01	1.0164295	-5.927385	0.13213117	KDM5A	lysine demethylase 5A
212964_at	5.10e-01	3.20e-01	1.0164085	-5.927406	0.13388819	HIC2	hypermethylated in cancer 2
1557533_at	5.10e-01	3.20e-01	-1.0163791	-5.927435	-0.05831573		
216716_at	5.10e-01	3.20e-01	1.0163168	-5.927497	0.08701968	ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)
201805_at	5.10e-01	3.20e-01	-1.0162579	-5.927555	-0.081497	PRKAG1	protein kinase AMP-activated non-catalytic subunit gamma 1
212666_at	5.10e-01	3.20e-01	1.0162572	-5.927556	0.10175698	SMURF1	SMAD specific E3 ubiquitin protein ligase 1
1555735_a_at	5.10e-01	3.20e-01	-1.0161863	-5.927626	-0.21862384	BAP1	BRCA1 associated protein 1
209858_x_at	5.10e-01	3.20e-01	1.0161662	-5.927646	0.14001402	MPPE1	metallophosphoesterase 1
212284_x_at	5.10e-01	3.20e-01	-1.0161242	-5.927687	-0.04886559	LOC101928826///TPT1	uncharacterized LOC101928826///tumor protein, translationally-controlled 1
221022_s_at	5.10e-01	3.20e-01	1.0160919	-5.927719	0.12440039	PMFBP1	polyamine modulated factor 1 binding protein 1
1554069_at	5.10e-01	3.20e-01	1.0160903	-5.927721	0.10325962	EPHA8	EPH receptor A8
1561206_at	5.10e-01	3.20e-01	-1.0160652	-5.927746	-0.22474229	KLHL8	kelch like family member 8
224293_at	5.10e-01	3.20e-01	-1.0160421	-5.927768	-0.14172699	TTTY10	testis-specific transcript, Y-linked 10 (non-protein coding)
1569813_at	5.10e-01	3.20e-01	-1.0160257	-5.927785	-0.11618841	STRN	striatin
1563346_at	5.10e-01	3.20e-01	1.0159983	-5.927812	0.0910663	C21orf91-OT1	C21orf91 overlapping transcript 1
1569454_a_at	5.10e-01	3.20e-01	1.0159309	-5.927878	0.09005326	LOC283352	uncharacterized LOC283352
239925_at	5.10e-01	3.20e-01	1.0159253	-5.927884	0.08866109		
1559915_at	5.10e-01	3.20e-01	1.0159141	-5.927895	0.10435731		
