ID	adj.P.Val	P.Value	t	B	logFC	SPOT_ID
8436_at	4.01e-02	1.43e-02	-2.588517	-3.515583	-0.5905453	8436_at
23300_at	4.01e-02	1.43e-02	2.588158	-3.51636	0.1669246	23300_at
2348_at	4.01e-02	1.43e-02	-2.587883	-3.516955	-0.5014757	2348_at
80201_at	4.02e-02	1.43e-02	-2.587438	-3.517919	-1.2621502	80201_at
10190_at	4.02e-02	1.43e-02	2.586897	-3.519088	0.1752374	10190_at
1052_at	4.03e-02	1.44e-02	2.586085	-3.520846	0.3205239	1052_at
9788_at	4.04e-02	1.44e-02	-2.584401	-3.524489	-0.2043903	9788_at
1540_at	4.04e-02	1.44e-02	2.584268	-3.524777	0.1845261	1540_at
51172_at	4.04e-02	1.44e-02	2.584005	-3.525346	0.1940242	51172_at
3309_at	4.05e-02	1.45e-02	2.583265	-3.526946	0.2030416	3309_at
26520_at	4.06e-02	1.45e-02	2.582717	-3.52813	0.1885153	26520_at
55672_at	4.06e-02	1.45e-02	2.581617	-3.530509	0.3890339	55672_at
1369_at	4.07e-02	1.45e-02	-2.580755	-3.53237	-0.8577028	1369_at
8115_at	4.09e-02	1.46e-02	2.579066	-3.53602	1.0639289	8115_at
7097_at	4.09e-02	1.46e-02	2.578428	-3.537399	0.4668558	7097_at
26118_at	4.10e-02	1.47e-02	-2.577537	-3.539321	-0.5349029	26118_at
4811_at	4.11e-02	1.47e-02	-2.576485	-3.541593	-0.4039579	4811_at
6801_at	4.11e-02	1.47e-02	-2.576349	-3.541886	-0.2683571	6801_at
80069_at	4.11e-02	1.47e-02	-2.576046	-3.54254	-1.0984729	80069_at
387_at	4.11e-02	1.47e-02	-2.575757	-3.543164	-0.1243711	387_at
4090_at	4.12e-02	1.47e-02	2.575514	-3.543689	0.3822489	4090_at
60436_at	4.12e-02	1.47e-02	2.575139	-3.544498	0.2306827	60436_at
26504_at	4.14e-02	1.48e-02	-2.573366	-3.548322	-0.3515312	26504_at
5532_at	4.14e-02	1.48e-02	2.573318	-3.548426	0.2399326	5532_at
79672_at	4.14e-02	1.48e-02	2.572962	-3.549194	0.1996247	79672_at
9625_at	4.14e-02	1.48e-02	-2.572954	-3.549211	-0.3486015	9625_at
55236_at	4.14e-02	1.48e-02	-2.572526	-3.550135	-0.4239002	55236_at
23526_at	4.14e-02	1.48e-02	2.572267	-3.550693	0.2936621	23526_at
80339_at	4.14e-02	1.48e-02	-2.572139	-3.550967	-0.7185148	80339_at
23269_at	4.15e-02	1.49e-02	-2.57171	-3.551893	-0.207601	23269_at
80705_at	4.15e-02	1.49e-02	-2.571285	-3.552809	-0.4283682	80705_at
5188_at	4.16e-02	1.49e-02	2.570234	-3.555074	0.3569829	5188_at
1938_at	4.16e-02	1.49e-02	-2.570204	-3.55514	-0.1394354	1938_at
79729_at	4.17e-02	1.49e-02	-2.569306	-3.557075	-0.749774	79729_at
22844_at	4.18e-02	1.50e-02	-2.568135	-3.559597	-0.6986874	22844_at
57191_at	4.18e-02	1.50e-02	-2.567872	-3.560164	-0.7187235	57191_at
81619_at	4.18e-02	1.50e-02	-2.567518	-3.560926	-0.2278948	81619_at
10062_at	4.18e-02	1.50e-02	-2.567483	-3.561002	-0.45651	10062_at
23099_at	4.18e-02	1.50e-02	2.567023	-3.561991	0.2791445	23099_at
79833_at	4.19e-02	1.50e-02	2.566433	-3.563263	0.2333558	79833_at
56924_at	4.19e-02	1.50e-02	2.566355	-3.563431	0.3169393	56924_at
10844_at	4.20e-02	1.51e-02	-2.565444	-3.56539	-0.2674178	10844_at
83460_at	4.20e-02	1.51e-02	2.565046	-3.566247	0.1758012	83460_at
51050_at	4.20e-02	1.51e-02	-2.564741	-3.566905	-1.231376	51050_at
51208_at	4.20e-02	1.51e-02	-2.564535	-3.567347	-0.9303543	51208_at
1586_at	4.22e-02	1.52e-02	-2.563184	-3.570253	-1.1921041	1586_at
2515_at	4.22e-02	1.52e-02	-2.562785	-3.571113	-1.4812997	2515_at
10017_at	4.22e-02	1.52e-02	2.562607	-3.571495	0.4279878	10017_at
1387_at	4.22e-02	1.52e-02	-2.562485	-3.571757	-0.1801556	1387_at
51162_at	4.23e-02	1.52e-02	-2.560907	-3.57515	-0.5705047	51162_at
23471_at	4.24e-02	1.53e-02	-2.560392	-3.576259	-0.1578368	23471_at
10113_at	4.24e-02	1.53e-02	-2.560295	-3.576466	-0.1486328	10113_at
23180_at	4.24e-02	1.53e-02	2.559857	-3.577408	0.2309714	23180_at
3021_at	4.24e-02	1.53e-02	2.559826	-3.577475	0.2813699	3021_at
2180_at	4.24e-02	1.53e-02	-2.559684	-3.577779	-0.5864099	2180_at
10535_at	4.25e-02	1.53e-02	2.559171	-3.578883	0.3373799	10535_at
4253_at	4.25e-02	1.53e-02	-2.559146	-3.578935	-0.5341113	4253_at
3954_at	4.25e-02	1.53e-02	2.558603	-3.580102	0.3271516	3954_at
51806_at	4.25e-02	1.53e-02	-2.558508	-3.580306	-0.2799358	51806_at
