ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
A_23_P88630	2.82e-02	1.26e-02	-2.5662437	-3.5348782	-0.8288139	BLM	Bloom syndrome RecQ like helicase
A_23_P251095	2.82e-02	1.27e-02	-2.5659248	-3.5356182	-0.6553569	PDHA1	pyruvate dehydrogenase (lipoamide) alpha 1
A_23_P329727	2.82e-02	1.27e-02	2.5655524	-3.5364823	0.8228225	MAPK8IP3	mitogen-activated protein kinase 8 interacting protein 3
A_23_P209298	2.82e-02	1.27e-02	-2.5654186	-3.5367925	-0.6755251	EPB41L5	erythrocyte membrane protein band 4.1 like 5
A_32_P56463	2.83e-02	1.27e-02	-2.5652255	-3.5372406	-0.5485838		
A_23_P51082	2.83e-02	1.27e-02	2.5652028	-3.5372932	1.3112144		
A_23_P321201	2.83e-02	1.27e-02	-2.5651563	-3.537401	-0.6415287	DENND5A	DENN domain containing 5A
A_23_P60210	2.83e-02	1.27e-02	-2.5651261	-3.5374711	-1.0035671	RLN1	relaxin 1
A_24_P100650	2.83e-02	1.27e-02	-2.565123	-3.5374783	-1.1665237	EQTN	equatorin
A_23_P431923	2.83e-02	1.27e-02	-2.5647899	-3.5382511	-1.2295085	SSX8	SSX family member 8
A_32_P182760	2.83e-02	1.27e-02	-2.5645495	-3.5388086	-0.9951448	BCOR	BCL6 corepressor
A_23_P218203	2.83e-02	1.27e-02	-2.5644646	-3.5390055	-0.674337	JMJD7	jumonji domain containing 7
A_23_P142022	2.83e-02	1.27e-02	2.5644584	-3.5390198	1.2912629	PRPF31	pre-mRNA processing factor 31
A_24_P143171	2.83e-02	1.27e-02	-2.5642781	-3.539438	-0.6342239	TMEM47	transmembrane protein 47
A_23_P103062	2.83e-02	1.27e-02	2.5642472	-3.5395096	0.7693108	RNF185	ring finger protein 185
A_24_P256093	2.83e-02	1.27e-02	-2.5642001	-3.5396187	-0.5106554		
A_24_P82240	2.83e-02	1.27e-02	-2.5641492	-3.5397369	-1.2423371	PRM2	protamine 2
A_24_P228717	2.83e-02	1.27e-02	2.564107	-3.5398348	0.6876265	RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)
A_23_P120243	2.83e-02	1.27e-02	-2.5640777	-3.5399028	-0.6604725	HOXD1	homeobox D1
A_32_P34970	2.83e-02	1.27e-02	-2.5640282	-3.5400174	-0.5592668		
A_24_P721730	2.83e-02	1.27e-02	-2.5638933	-3.5403302	-0.648718		
A_23_P213615	2.83e-02	1.27e-02	2.5637852	-3.5405809	0.7385102	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2
A_32_P32923	2.84e-02	1.27e-02	-2.5634142	-3.5414411	-0.5694381		
A_23_P164316	2.84e-02	1.27e-02	2.5632605	-3.5417975	1.0667996		
A_23_P217643	2.84e-02	1.27e-02	2.5632292	-3.5418701	0.8899933	F8	coagulation factor VIII
A_23_P41365	2.84e-02	1.27e-02	-2.5632256	-3.5418783	-0.7662384	SMR3A	submaxillary gland androgen regulated protein 3A
A_32_P951	2.84e-02	1.27e-02	-2.5631787	-3.5419872	-0.4368836	WFDC10B	WAP four-disulfide core domain 10B
A_23_P47777	2.84e-02	1.27e-02	-2.5631709	-3.5420052	-0.5283744	MARCH9	membrane associated ring-CH-type finger 9
A_23_P136870	2.84e-02	1.28e-02	-2.5630995	-3.5421707	-0.7548805	MAGEA6	MAGE family member A6
A_24_P268210	2.84e-02	1.28e-02	-2.5630757	-3.5422259	-0.7505649	RAB3GAP2	RAB3 GTPase activating non-catalytic protein subunit 2
A_24_P269129	2.84e-02	1.28e-02	2.5630451	-3.5422967	0.8944195	ZDHHC14	zinc finger DHHC-type containing 14
A_23_P368718	2.84e-02	1.28e-02	-2.5629466	-3.5425251	-0.5632405	SPRYD7	SPRY domain containing 7
A_24_P208045	2.84e-02	1.28e-02	-2.5626316	-3.5432554	-0.3968045	EDEM3	ER degradation enhancing alpha-mannosidase like protein 3
A_24_P174353	2.84e-02	1.28e-02	-2.5625605	-3.5434202	-1.3219292		
A_24_P833129	2.84e-02	1.28e-02	-2.5624288	-3.5437252	-0.8943422	ISPD	isoprenoid synthase domain containing
A_32_P225647	2.84e-02	1.28e-02	-2.5624141	-3.5437594	-0.7286631		
A_24_P84482	2.84e-02	1.28e-02	2.5623937	-3.5438065	0.8212099		
A_24_P201531	2.84e-02	1.28e-02	-2.5622315	-3.5441826	-0.5605924	ARCN1	archain 1
A_24_P808100	2.84e-02	1.28e-02	2.5619922	-3.5447371	1.3100846	MCTS1	MCTS1, re-initiation and release factor
A_32_P164061	2.84e-02	1.28e-02	-2.5619426	-3.5448521	-0.8604332		
A_23_P145096	2.85e-02	1.28e-02	-2.5617807	-3.5452272	-1.5545474	PLA2G7	phospholipase A2 group VII
A_24_P393679	2.85e-02	1.28e-02	-2.5616359	-3.5455629	-0.9519772	GNL1	G protein nucleolar 1 (putative)
A_23_P101048	2.85e-02	1.28e-02	-2.5614488	-3.5459962	-1.2038754	KRTAP3-2	keratin associated protein 3-2
A_24_P321752	2.85e-02	1.28e-02	2.5612601	-3.5464336	0.6180679	TTLL5	tubulin tyrosine ligase like 5
A_24_P410797	2.85e-02	1.28e-02	-2.5610769	-3.5468579	-0.531278		
A_32_P69475	2.85e-02	1.28e-02	-2.5610435	-3.5469354	-0.8002666	LNPEP	leucyl and cystinyl aminopeptidase
A_24_P928217	2.85e-02	1.28e-02	-2.5609451	-3.5471632	-0.5586568	FAM134A	family with sequence similarity 134 member A
A_24_P51786	2.85e-02	1.28e-02	-2.5607646	-3.5475815	-0.5146935	CCDC50	coiled-coil domain containing 50
A_24_P320221	2.85e-02	1.28e-02	-2.5607435	-3.5476304	-0.4982386	TRAPPC11	trafficking protein particle complex 11
A_23_P6151	2.85e-02	1.28e-02	-2.5607236	-3.5476764	-0.4679341	PLAGL2	PLAG1 like zinc finger 2
A_23_P110266	2.85e-02	1.28e-02	2.5606489	-3.5478495	1.6059746	NDNF	neuron derived neurotrophic factor
A_23_P149368	2.85e-02	1.28e-02	-2.560628	-3.5478978	-1.1341413	FCRL1	Fc receptor like 1
